file,symbol,tf,status,rows,date_start,date_end,duplicate_timestamps,missing_bars_estimate,biggest_gap,ohlc_violations,zero_or_negative_price,notes
EURUSD_D1_ALL_DATA_20260913_032811.csv,EURUSD,D1,OK,1642,2020-05-15 00:00:00,2026-09-11 00:00:00,0,0,5760分鐘,0,0,
EURUSD_H1_ALL_DATA_20260913_032810.csv,EURUSD,H1,警告,39420,2020-05-13 23:00:00,2026-09-11 23:00:00,0,6,4560分鐘,0,0,疑似6處平日資料缺漏
EURUSD_M15_ALL_DATA_20260913_032807.csv,EURUSD,M15,警告,157680,2020-05-13 14:30:00,2026-09-11 23:45:00,0,6,4515分鐘,0,0,疑似6處平日資料缺漏
EURUSD_M5_ALL_DATA_20260913_032752.csv,EURUSD,M5,警告,473040,2020-04-28 21:40:00,2026-09-11 23:50:00,0,12,4505分鐘,0,0,疑似12處平日資料缺漏
GBPUSD_D1_ALL_DATA_20260913_032703.csv,GBPUSD,D1,OK,1642,2020-05-15 00:00:00,2026-09-11 00:00:00,0,0,5760分鐘,0,0,
GBPUSD_H1_ALL_DATA_20260913_032702.csv,GBPUSD,H1,警告,39420,2020-05-13 23:00:00,2026-09-11 23:00:00,0,6,4560分鐘,0,0,疑似6處平日資料缺漏
GBPUSD_M15_ALL_DATA_20260913_032659.csv,GBPUSD,M15,警告,157680,2020-05-13 14:45:00,2026-09-11 23:45:00,0,6,4515分鐘,0,0,疑似6處平日資料缺漏
GBPUSD_M5_ALL_DATA_20260913_032643.csv,GBPUSD,M5,警告,473040,2020-04-28 19:35:00,2026-09-11 23:50:00,0,12,4505分鐘,0,0,疑似12處平日資料缺漏
JP225.cash_D1_ALL_DATA_20260913_033149.csv,JP225.cash,D1,警告,1464,2017-12-28 00:00:00,2026-09-11 00:00:00,0,4,1162080分鐘,0,0,疑似4處平日資料缺漏
JP225.cash_H1_ALL_DATA_20260913_033148.csv,JP225.cash,H1,警告,33130,2017-12-28 12:00:00,2026-09-11 23:00:00,0,12,1162440分鐘,0,0,疑似12處平日資料缺漏
JP225.cash_M15_ALL_DATA_20260913_033146.csv,JP225.cash,M15,警告,117954,2017-12-28 12:00:00,2026-09-11 23:45:00,0,49,1162440分鐘,0,0,疑似49處平日資料缺漏
JP225.cash_M5_ALL_DATA_20260913_033140.csv,JP225.cash,M5,警告,339783,2017-12-28 12:00:00,2026-09-11 23:45:00,0,231,1162440分鐘,0,0,疑似231處平日資料缺漏
NZDUSD_D1_ALL_DATA_20260913_032733.csv,NZDUSD,D1,OK,1642,2020-05-15 00:00:00,2026-09-11 00:00:00,0,0,5760分鐘,0,0,
NZDUSD_H1_ALL_DATA_20260913_032732.csv,NZDUSD,H1,警告,39420,2020-05-13 20:00:00,2026-09-11 23:00:00,0,6,4560分鐘,0,0,疑似6處平日資料缺漏
NZDUSD_M15_ALL_DATA_20260913_032729.csv,NZDUSD,M15,警告,157680,2020-03-16 23:30:00,2026-09-11 23:45:00,0,6,4515分鐘,0,0,疑似6處平日資料缺漏
NZDUSD_M5_ALL_DATA_20260913_032719.csv,NZDUSD,M5,警告,473040,2020-02-17 18:20:00,2026-09-11 23:50:00,0,13,4505分鐘,0,0,疑似13處平日資料缺漏
US100.cash_D1_ALL_DATA_20260913_033127.csv,US100.cash,D1,OK,1460,2021-01-21 00:00:00,2026-09-11 00:00:00,0,0,5760分鐘,0,0,
US100.cash_H1_ALL_DATA_20260913_033126.csv,US100.cash,H1,警告,33115,2021-01-21 22:00:00,2026-09-11 23:00:00,0,8,4440分鐘,0,0,疑似8處平日資料缺漏
US100.cash_M15_ALL_DATA_20260913_033123.csv,US100.cash,M15,警告,121542,2021-01-21 22:00:00,2026-09-11 23:45:00,0,45,4395分鐘,0,0,疑似45處平日資料缺漏
US100.cash_M5_ALL_DATA_20260913_033115.csv,US100.cash,M5,警告,353597,2021-01-21 22:00:00,2026-09-11 23:45:00,0,187,4400分鐘,0,0,疑似187處平日資料缺漏
US30.cash_D1_ALL_DATA_20260913_033102.csv,US30.cash,D1,OK,1642,2020-05-08 00:00:00,2026-09-11 00:00:00,0,0,5760分鐘,0,0,
US30.cash_H1_ALL_DATA_20260913_033101.csv,US30.cash,H1,警告,39420,2020-01-10 08:00:00,2026-09-11 23:00:00,0,10,4620分鐘,0,0,疑似10處平日資料缺漏
US30.cash_M15_ALL_DATA_20260913_033058.csv,US30.cash,M15,警告,157680,2019-11-08 07:00:00,2026-09-11 23:45:00,0,50,4605分鐘,0,0,疑似50處平日資料缺漏
US30.cash_M5_ALL_DATA_20260913_033042.csv,US30.cash,M5,警告,473040,2019-09-27 23:15:00,2026-09-11 23:45:00,0,128,4610分鐘,0,0,疑似128處平日資料缺漏
US500.cash_D1_ALL_DATA_20260913_033026.csv,US500.cash,D1,OK,1460,2021-01-21 00:00:00,2026-09-11 00:00:00,0,0,5760分鐘,0,0,
US500.cash_H1_ALL_DATA_20260913_033025.csv,US500.cash,H1,警告,33115,2021-01-21 21:00:00,2026-09-11 23:00:00,0,8,4440分鐘,0,0,疑似8處平日資料缺漏
US500.cash_M15_ALL_DATA_20260913_033023.csv,US500.cash,M15,警告,117877,2021-01-21 21:00:00,2026-09-11 23:45:00,0,45,4395分鐘,0,0,疑似45處平日資料缺漏
US500.cash_M5_ALL_DATA_20260913_033015.csv,US500.cash,M5,警告,340296,2021-01-21 21:00:00,2026-09-11 23:45:00,0,230,4400分鐘,0,0,疑似230處平日資料缺漏
USDCAD_D1_ALL_DATA_20260913_032848.csv,USDCAD,D1,OK,1642,2020-05-15 00:00:00,2026-09-11 00:00:00,0,0,5760分鐘,0,0,
USDCAD_H1_ALL_DATA_20260913_032847.csv,USDCAD,H1,警告,39420,2020-05-13 23:00:00,2026-09-11 23:00:00,0,6,4560分鐘,0,0,疑似6處平日資料缺漏
USDCAD_M15_ALL_DATA_20260913_032845.csv,USDCAD,M15,警告,157680,2020-05-13 13:45:00,2026-09-11 23:45:00,0,6,4515分鐘,0,0,疑似6處平日資料缺漏
USDCAD_M5_ALL_DATA_20260913_032837.csv,USDCAD,M5,警告,473040,2020-04-28 13:05:00,2026-09-11 23:50:00,0,12,4505分鐘,0,0,疑似12處平日資料缺漏
USDCHF_D1_ALL_DATA_20260913_032918.csv,USDCHF,D1,OK,1642,2020-05-15 00:00:00,2026-09-11 00:00:00,0,0,5760分鐘,0,0,
USDCHF_H1_ALL_DATA_20260913_032917.csv,USDCHF,H1,警告,39420,2020-05-13 23:00:00,2026-09-11 23:00:00,0,6,4560分鐘,0,0,疑似6處平日資料缺漏
USDCHF_M15_ALL_DATA_20260913_032915.csv,USDCHF,M15,警告,157680,2020-05-13 13:30:00,2026-09-11 23:45:00,0,6,4515分鐘,0,0,疑似6處平日資料缺漏
USDCHF_M5_ALL_DATA_20260913_032904.csv,USDCHF,M5,警告,473040,2020-04-28 09:10:00,2026-09-11 23:50:00,0,12,4505分鐘,0,0,疑似12處平日資料缺漏
USDCNH_D1_ALL_DATA_20260913_032933.csv,USDCNH,D1,OK,702,2024-01-02 00:00:00,2026-09-11 00:00:00,0,0,4320分鐘,0,0,
USDCNH_H1_ALL_DATA_20260913_032932.csv,USDCNH,H1,警告,16788,2024-01-02 00:00:00,2026-09-11 23:00:00,0,4,3000分鐘,0,0,疑似4處平日資料缺漏
USDCNH_M15_ALL_DATA_20260913_032931.csv,USDCNH,M15,警告,67074,2024-01-02 00:00:00,2026-09-11 23:45:00,0,5,2955分鐘,0,0,疑似5處平日資料缺漏
